,seqnames,start,end,width,strand,idr,summit,rep1_pvalue,rep2_pvalue,rep1_qvalue,rep2_qvalue
peak:1,chr13,63562984,63566276,3293,*,1000,1428,91.88833,72.93222,87.36462,7.49283
peak:2,chr11,51855314,51858137,2824,*,1000,936,84.0996,55.97599,79.95772,37.9388
peak:3,chr19,46500776,46503213,2438,*,1000,1366,99.81362,17.46682,94.87624,10.26936
peak:4,chr10,95415520,95417824,2305,*,1000,694,119.34502,6.76587,113.19461,8.39444
peak:5,chr4,88031241,88033829,2589,*,1000,1357,68.96981,50.4659,65.39683,7.73414
peak:6,chr8,120535540,120539195,3656,*,1000,1390,84.38846,15.89268,80.23743,3.4222
peak:7,chr4,134852461,134854465,2005,*,1000,1570,96.62765,121.96773,91.86305,91.86305
peak:8,chr10,26373664,26374826,1163,*,1000,539,96.62765,47.14502,91.86305,58.38265
peak:9,chr17,47923634,47925680,2047,*,1000,986,119.34502,55.97599,113.19461,11.24113
peak:10,chr1,131525100,131527387,2288,*,1000,1410,74.94638,34.55941,71.17066,19.68948
peak:11,chr4,114907140,114909692,2553,*,1000,1702,76.4566,42.22645,72.62501,6.61759
peak:12,chr10,61146245,61148057,1813,*,1000,1470,98.69139,104.13511,93.83816,5.77031
peak:13,chr13,58401262,58403140,1879,*,1000,1141,96.62765,80.92736,91.86305,15.32549
peak:14,chr18,34860402,34861848,1447,*,1000,212,114.39808,75.84715,108.60558,41.87118
peak:15,chr13,98890166,98891142,977,*,1000,521,91.88833,80.92736,87.36462,16.39248
peak:16,chr6,94282689,94284820,2132,*,1000,1000,105.13082,26.69236,99.91724,25.2021
peak:17,chr8,85036875,85038460,1586,*,1000,171,117.69148,45.28151,111.67281,13.14132
peak:18,chr13,29983639,29985686,2048,*,1000,695,96.62765,77.70932,91.86305,2.43893
peak:19,chr11,102316307,102319753,3447,*,1000,1341,103.02013,69.78202,97.90819,6.61759
peak:20,chr7,16309249,16310988,1740,*,1000,992,72.77834,99.06743,69.09692,7.49283
