"","seqnames","start","end","width","strand","idr","signalValue","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","ens_transcript",".","distanceToTSS","ens_genes","gene_symbol","name"
"1","chr13",63562983,63566276,3294,"*",1000,106.63064,"Promoter",13,63508328,63565735,57408,2,"19206","ENSMUST00000021921","10",0,"ENSMUSG00000021466","Ptch1","peak:1"
"2","chr11",51855313,51858137,2825,"*",1000,106.30658,"Promoter",11,51813455,51857653,44199,2,"76901","ENSMUST00000020655","13",0,"ENSMUSG00000020387","Jade2","peak:2"
"3","chr19",46500775,46503213,2439,"*",1000,91.29226,"Promoter",19,46501702,46516848,15147,1,"93679","ENSMUST00000026008","8",0,"ENSMUSG00000025034","Trim8","peak:3"
"4","chr10",95415519,95417824,2306,"*",1000,90.5741,"Promoter",10,95411490,95416212,4723,2,"216233","ENSMUST00000170690","7",0,"ENSMUSG00000020027","Socs2","peak:4"
"5","chr4",88031240,88033829,2590,"*",1000,89.503,"Promoter",4,87769925,88033364,263440,2,"70122","ENSMUST00000078090","11",0,"ENSMUSG00000028496","Mllt3","peak:5"
"6","chr8",120535539,120539195,3657,"*",1000,85.23701,"Promoter",8,120538696,120538754,59,1,"102466849","ENSMUST00000184722","1",0,"ENSMUSG00000098280","Mir7687","peak:6"
"7","chr4",134852460,134854465,2006,"*",1000,83.28122,"Promoter",4,134802759,134853345,50587,2,"66146","ENSMUST00000030628","14",0,"ENSMUSG00000028826","Maco1","peak:7"
"8","chr10",26373663,26374826,1164,"*",1000,83.07026,"Promoter",10,26274468,26373956,99489,2,"237339","ENSMUST00000105519","9",0,"ENSMUSG00000039089","L3mbtl3","peak:8"
"9","chr17",47923633,47925680,2048,"*",1000,82.23014,"Promoter",17,47867133,47924645,57513,2,"74123","ENSMUST00000113265","7",0,"ENSMUSG00000023991","Foxp4","peak:9"
"10","chr1",131525099,131527387,2289,"*",1000,81.63474,"Promoter",1,131285251,131527347,242097,2,"14270","ENSMUST00000097588","8",0,"ENSMUSG00000026425","Srgap2","peak:10"
"11","chr4",114907139,114909692,2554,"*",1000,80.81465,"Promoter",4,114909257,114921118,11862,1,"100040736","ENSMUST00000123272","1",0,"ENSMUSG00000085399","Foxd2os","peak:11"
"12","chr10",61146244,61148057,1814,"*",1000,79.82066,"Promoter",10,61098642,61147644,49003,2,"20397","ENSMUST00000122259","7",0,"ENSMUSG00000020097","Sgpl1","peak:12"
"13","chr13",58401261,58403140,1880,"*",1000,79.65682,"Promoter",13,58391235,58402516,11282,2,"15387","ENSMUST00000224182","1",0,"ENSMUSG00000021546","Hnrnpk","peak:13"
"14","chr18",34860401,34861848,1448,"*",1000,79.53223,"Promoter",18,34861207,34864956,3750,1,"13653","ENSMUST00000165033","1",0,"ENSMUSG00000038418","Egr1","peak:14"
