V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
chr13,63562983,63566276,.,1000,.,106.63064,-1,-1,1428,5,5,63562983,63566276,25.2218,229,63563007,63566222,81.40884,160
chr11,51855313,51858137,.,1000,.,106.30658,-1,-1,936,5,5,51855313,51858137,23.62548,1566,51855336,51858130,82.6811,308
chr19,46500775,46503213,.,1000,.,91.29226,-1,-1,1366,5,5,46500775,46503213,26.81811,1392,46500785,46502955,64.47415,206
chr10,95415519,95417824,.,1000,.,90.5741,-1,-1,694,5,5,95415519,95417824,30.64927,301,95415620,95417778,59.92483,232
chr4,88031240,88033829,.,1000,.,89.503,-1,-1,1357,5,5,88031269,88033829,20.43285,1320,88031240,88033725,69.07015,208
chr8,120535539,120539195,.,1000,.,85.23701,-1,-1,1390,5,5,120535539,120539195,21.51946,2109,120535742,120538963,63.71755,377
chr4,134852460,134854465,.,1000,.,83.28122,-1,-1,1570,5,5,134852460,134854465,26.17959,1582,134852467,134854226,57.10163,575
chr10,26373663,26374826,.,1000,.,83.07026,-1,-1,539,5,5,26373663,26374826,26.17959,591,26373694,26374818,56.89067,145
chr17,47923633,47925680,.,1000,.,82.23014,-1,-1,986,5,5,47923633,47925680,30.64927,961,47923761,47925322,51.58087,532
chr1,131525099,131527387,.,1000,.,81.63474,-1,-1,1410,5,5,131525099,131527387,21.7099,1395,131525127,131527385,59.92484,171
chr4,114907139,114909692,.,1000,.,80.81465,-1,-1,1702,5,5,114907139,114909692,22.02916,1702,114907217,114909614,58.78549,562
chr10,61146244,61148057,.,1000,.,79.82066,-1,-1,1470,5,5,61146244,61148057,24.36099,1481,61146258,61148052,55.45967,427
chr13,58401261,58403140,.,1000,.,79.65682,-1,-1,1141,5,5,58401261,58403140,26.17959,1512,58401284,58403051,53.47723,457
chr18,34860401,34861848,.,1000,.,79.53223,-1,-1,212,5,5,34860401,34861848,29.69148,205,34860461,34861637,49.84075,162
chr13,98890165,98891142,.,1000,.,79.45758,-1,-1,521,5,5,98890165,98891142,25.2218,757,98890294,98891036,54.23578,153
chr6,94282688,94284820,.,1000,.,79.14379,-1,-1,1000,5,5,94282688,94284820,22.63239,1003,94282775,94284796,56.5114,262
chr8,85036874,85038460,.,1000,.,78.97847,-1,-1,171,5,5,85036874,85038460,30.33001,177,85036891,85038367,48.64846,144
chr13,29983638,29985686,.,1000,.,78.89827,-1,-1,695,5,5,29983638,29985686,26.17959,849,29983763,29985661,52.71868,365
chr11,102316306,102319753,.,1000,.,78.65824,-1,-1,1341,5,5,102316306,102319753,27.45664,934,102316539,102319580,51.2016,958
